time_utc,distance_km,relative_velocity_km_s,sat_a_lat,sat_a_lon,sat_b_lat,sat_b_lon
2025-12-17T12:18:59.765Z,204.185879,11.930398,52.880849,-16.943604,53.310803,-17.491625
2025-12-20T15:31:59.825Z,212.769643,10.628302,-51.388048,114.281006,-52.140890,113.559473
2025-12-19T01:30:19.422Z,350.373434,11.321084,54.764189,146.007842,52.738145,148.176677
2025-12-19T00:42:53.065Z,383.070895,11.313401,-50.978689,-23.589777,-53.195454,-26.150253
2025-12-20T16:19:30.390Z,543.242248,10.649456,54.919190,-76.218914,51.180318,-72.896151
2025-12-17T13:06:27.296Z,549.219785,11.903892,-56.670925,152.791237,-53.174126,156.974867
2025-12-17T11:31:33.198Z,660.318523,11.936900,-49.135836,173.596317,-53.097422,168.159846
2025-12-20T14:44:26.153Z,758.994070,10.693675,47.747949,-55.037727,52.839867,-60.343585
2025-12-19T02:17:48.358Z,944.762008,11.325237,-58.618389,-44.058170,-51.922873,-37.534397
2025-12-18T23:55:24.071Z,980.810956,11.392863,47.052081,167.006010,53.305113,159.230568
